Sheet line,Name,Discipline,Line,Confidence
374,Butterfly,Foundational Resting Positions,Hip Opening (frontal),high
375,Butterfly - Weighted,Foundational Resting Positions,Hip Opening (frontal),high
376,Butterfly - Partner,Foundational Resting Positions,Hip Opening (frontal),high
384,Pancake,Foundational Resting Positions,Hip Opening (frontal),high
385,Pancake - Elevated,Foundational Resting Positions,Hip Opening (frontal),high
386,Pancake - Partner,Foundational Resting Positions,Hip Opening (frontal),high
387,Pancake - Weighted,Foundational Resting Positions,Hip Opening (frontal),high
388,Pancake - Dynamic,Foundational Resting Positions,Hip Opening (frontal),high
395,Side Pancake Weighted,Foundational Resting Positions,Hip Opening (frontal),high
389,Frog Stretch,Foundational Resting Positions,Hip Opening (frontal),high
390,Frog - Internal Lifts,Foundational Resting Positions,Hip Opening (frontal),high
391,Middle Splits,Foundational Resting Positions,Hip Opening (frontal),high
392,Middle Splits - Active,Foundational Resting Positions,Hip Opening (frontal),high
393,Middle Splits - Sliding,Foundational Resting Positions,Hip Opening (frontal),high
394,Middle Splits - Contract and Relax,Foundational Resting Positions,Hip Opening (frontal),high
377,Copenhagen,Foundational Resting Positions,Hip Opening (frontal),check
378,90/90,Foundational Resting Positions,Hip Opening (frontal),check
379,Pigeon Stretch,Foundational Resting Positions,Hip Opening (frontal),check
380,Pigeon Stretch - Box,Foundational Resting Positions,Hip Opening (frontal),check
381,Hurdler Stretch,Foundational Resting Positions,Hip Opening (sagittal),check
382,Horse Stance,Foundational Resting Positions,Stance Positions,high
383,Horse Stance - Squats,Loaded Lower Body Strength,Lateral / Mobility Squat,check
412,Cobra Peel,Foundational Resting Positions,Spinal Extension,high
413,Standing Arch,Foundational Resting Positions,Spinal Extension,high
414,Yoga Wheel Opener,Foundational Resting Positions,Spinal Extension,high
415,Thoracic Bridge,Foundational Resting Positions,Spinal Extension,check
416,Bridge Hold,Foundational Resting Positions,Spinal Extension,check
417,Bridge Pulses,Spinal & Hip Articulation,Bridge Articulation,check
363,Split Squat,Loaded Lower Body Strength,Single-Leg Squat,high
445,Split Squat,Loaded Lower Body Strength,Single-Leg Squat,high
446,Cossack Squat,Loaded Lower Body Strength,Lateral / Mobility Squat,high
447,Sissy Squat,Loaded Lower Body Strength,Anterior Chain (knee),high
448,Lunge,Loaded Lower Body Strength,Single-Leg Squat,high
443,Kettlebell walking lunge,Loaded Lower Body Strength,Single-Leg Squat,high
438,Kettlebell Thruster,Loaded Lower Body Strength,Bilateral Squat,high
436,Kettlebell Swing Squat,Loaded Lower Body Strength,Hip Hinge,high
437,Kettlebell Swing Single Arm,Loaded Lower Body Strength,Hip Hinge,high
472,Box Jump,Bounciness & Elastic Power,Vertical Jump,high
473,High Jump,Bounciness & Elastic Power,Vertical Jump,high
474,Gather Step jump,Bounciness & Elastic Power,Horizontal Jump,check
