Keystone,Component,Component Exercises (comma-separated)
Muscle Up,False grip hanging endurance,"Dead Hang, Active Hang, Scap Pull, One-Arm Hang"
Muscle Up,Pulling strength to sternum,"Chin Up, Pull Up, Weighted Pull Up, Archer Pull Up, High Pull Up"
Muscle Up,Dip transition strength,"Parallel Bar Dip, Ring Dip, Weighted Ring Dip"
Muscle Up,Transition control (pull-to-press),"Bar Pull-Over, High Pull Up, Ring Dip"
Muscle Up,Wrist & forearm conditioning,"Dead Hang, Active Hang, Ring Row"
Handstand,Wrist mobility & strength,"Wrist CARs, Wrist Push-Ups, Tabletop Wrist Holds"
Handstand,Shoulder flexion (overhead position),"Pike Push Up, Wall Handstand, Skin the Cat"
Handstand,Hollow body alignment,"Hollow Body Hold, Plank, Wall Handstand"
Handstand,Finger & forearm strength (balance),"Frog Stand, Crow Pose, Wall Handstand"
Handstand,Hand balance & micro-correction,"Frog Stand, Crow Pose, Headstand, Wall Handstand"
Cossack Squat,Adductor flexibility & strength,"Wide Squat, Pancake (upright), Middle Split (low), Side Lunge"
Cossack Squat,Single-leg eccentric squat,"Split Squat, Bulgarian Split, Side Lunge"
Cossack Squat,Ankle dorsiflexion (both feet),"Resting Squat, Deep Calf Stretch"
Cossack Squat,Hip abduction control,"Side Plank, Lateral Bear, Side Lunge"
Cossack Squat,Thoracic upright posture under load,"Goblet Squat, Front / Back Squat"
