Change,Name,Old Discipline,Old Line,New Discipline,New Line,Session Role,Also Appears In,Why
RENAME,2 Up Two Over,Hand-Eye Coordination & Object Manipulation,Juggling,Object Play,Juggling,,,line renamed
RENAME,3 Ball Behind the Back,Hand-Eye Coordination & Object Manipulation,Juggling,Object Play,Juggling,,,line renamed
RENAME,3 Ball Flash,Hand-Eye Coordination & Object Manipulation,Juggling,Object Play,Juggling,,,line renamed
RENAME,3 Club Cascade,Hand-Eye Coordination & Object Manipulation,Juggling,Object Play,Juggling,,,line renamed
MOVE,360 Pull,Hanging & Pulling Above the Bar,Horizontal Pull,Straight Arm Strength,Straight Arm Rotation,,Straight Arm Strength - Front Lever Line,straight-arm rotation through the shoulder - not a horizontal pull
RENAME,4 Ball Fountain,Hand-Eye Coordination & Object Manipulation,Juggling,Object Play,Juggling,,,line renamed
RENAME,4 Ball Fountain Reverse,Hand-Eye Coordination & Object Manipulation,Juggling,Object Play,Juggling,,,line renamed
RENAME,4 Ball RLLR,Hand-Eye Coordination & Object Manipulation,Juggling,Object Play,Juggling,,,line renamed
RENAME,4 Ball RLRL,Hand-Eye Coordination & Object Manipulation,Juggling,Object Play,Juggling,,,line renamed
RENAME,4 Club Fountain,Hand-Eye Coordination & Object Manipulation,Juggling,Object Play,Juggling,,,line renamed
RENAME,5 Ball Cascade,Hand-Eye Coordination & Object Manipulation,Juggling,Object Play,Juggling,,,line renamed
MOVE,90/90,Foundational Resting Positions,,Hip & Leg Mobility,Hip Rotation,,,hip rotation rather than a split line
RENAME,90/90 to Belly Roll,"Rhythm, Flow & Expression",Floor Flow,Rhythm & Flow,Floor Flow,,,line renamed
RENAME,Active Hang,Hanging & Pulling Above the Bar,Passive / Active Hang,Hanging & Pulling,Passive / Active Hang,,,line renamed
RENAME,Active Hang - Supinated,Hanging & Pulling Above the Bar,Passive / Active Hang,Hanging & Pulling,Passive / Active Hang,,,line renamed
MOVE,Aerial,Inverted & Rotational Locomotion,Cartwheel Family,Inverted & Rotational Locomotion,Flips & Handsprings,,Inverted & Rotational Locomotion - Cartwheel Family,no-hands rotation
MOVE,Animal Pattern Relay Races,Ground Locomotion,Quadrupedal Forward,Ground Locomotion,Quadrupedal Forward,Game,,crawling patterns
MOVE,Ape Swing,Hanging & Pulling Above the Bar,Vertical Pull,Hanging & Pulling,Swinging & Brachiation,,,"swinging/travelling, not strict vertical pulling"
RENAME,Arching Scap Pull,Hanging & Pulling Above the Bar,Passive / Active Hang,Hanging & Pulling,Passive / Active Hang,,,line renamed
RENAME,Arching Scap Pull - Supinated,Hanging & Pulling Above the Bar,Passive / Active Hang,Hanging & Pulling,Passive / Active Hang,,,line renamed
RENAME,Arm Swipe,"Rhythm, Flow & Expression",Acrobatics,Rhythm & Flow,Acrobatics,,,line renamed
RENAME,Around the World,"Rhythm, Flow & Expression",Floor Flow,Rhythm & Flow,Floor Flow,,,line renamed
RENAME,Around the World Leg Raise,Lever & Straight-Arm Body Control,Core,Core & Midline,Hanging Core & Compression,,,line renamed
RENAME,Around the World Leg Raise - Tuck,Lever & Straight-Arm Body Control,Core,Core & Midline,Hanging Core & Compression,,,line renamed
MOVE,Back Lever,Pressing Strength,Horizontal Press,Straight Arm Strength,Back Lever Line,,,"straight-arm pulling holds, currently under Pressing Strength > Horizontal Press"
MOVE,Back Lever - Straddle,Pressing Strength,Horizontal Press,Straight Arm Strength,Back Lever Line,,,"straight-arm pulling holds, currently under Pressing Strength > Horizontal Press"
MOVE,Back Lever - Tuck,Pressing Strength,Horizontal Press,Straight Arm Strength,Back Lever Line,,,"straight-arm pulling holds, currently under Pressing Strength > Horizontal Press"
